userName,komentar
Keishia,"TIDAK REKOMENDASI !!! Mapsnya tidak sesuai, kadang titik jemput ketukar jadi kadang kasian driver yang sudah sampai tempat + driver motor maupun mobil diseleksi lagi dari cara berkomunikasi dengan penumpang sesuai topik umum, bukan tanya tentang hal pribadi, ada juga yang berbicaranya terkesan kasar ke penumpang padahal penumpang juga mungkin ada yang tidak mengerti dengan penggunaan maxim. Tolong mungkin semua ulasan ini maxim bisa pertimbangkan."
D.Hady. S,Aplikasi nya agak busuk ... Map nya ga tepat . Ga kyk aplikasi sebelah yg akurat map nya ... Driver nya juga pada angkuh
Abednego andrew,"Rute perjalanan yang dipilihkan terkadang bikin jauh dan estimasi harganya di aplikasi jadi mahal. Lebih baik bisa ditunjukan sebelum pesanan dibuat, bagaimana rute dr titik penjemputan sampai titik tujuan. Lebih ditingkatkan lagi efektifitas rutenya agar harga dan waktu perjalanan bisa lebih efisien. Terima kasih."
Amri ila,Bagus
Alsnur Aisah,memuas kan dan rama.. 😀
Yehuda Jw12,"Kenapa ya susah sekali buat login selalu lama buka app nyanya , mohon di perbaiki terimakasih"
muhaimin 4519,"Driver Ramah , wangi , bersih , Proses Cepat . Map Sangat Akurat ,, Serta Ongkos sangat Membantu Bagi kami kalangan Ekonomi Kebawah ,, sukses selalu Maxim"
Ra Hayu,Suka bnget sma apknya supirnya jga ramah baik sopan jadi kita merasah aman banget gk perlu khawatir
Sarlito Sanjaya,makasi atas pelayanannya
Rasya,👍
adi wanda,org nya ramah dan baik
Marnasip Hutasoit,Untuk kenyamanan penumpang Klo bisa wajib ad 1 helm ojol maxim baik untuk penumpang atau untuk si driver sebagai penanda itu ojol maxim.
Alesha khanza Dewina fadli,I don't know
Akhmadi Sutarno,Bagus sekali
Devita Mhr,cepat dan baik
Dita Dita,good
Saya Bojonegoro,Parah serius bug
nia 1234,Good
karmila sari,sangat baik dan sopan
Nurul Fadhiilah,tidak jarang di temukan driver kasar
Amanda Triyana S.,pelayanan baik
Kalili Kalili,Ongkirnya murah bngt 🙂☺️
Fitri Devan,"drivernya baik,,sopan."
rina rosiana,drivernya cepat
Gratis Ongkir,"Tolong dong kasih fitur pembatalan orderan food soalnya nyari driver gak dpt2 mau cancel gak bisa, pdhal udh BM bgt gak bisa di batalin 👎"
Khairul Abdi,Hari ini kejadian lagi ketika mesan dari tempat penjemputan ke tujuan ongkos nya Rp 28.000 tapi tiba2 setelah sampai di lokasi tujuan tiba-tiba di aplikasi biaya nya baik 40.200 luar biasa sudah 3x seperti ini
Saba Syukrina,keren
Nova Ariyanti,"ramah,, trimakasih"
Aflederico Frazer swara,"terimakasih Maxim,, terimakasih draver,Uda langganan"
NN MULTIMEDIA,pengemudi cepat sampai.. ramah.. mantap deh
zaldi syafriandika,milih - milih lokasi
Fahmi A,"Fitur chat kalau bisa sediakan fitur kamera.. Awal daftar maxim kalau bisa pakai ktp, no hp, sama vermuk.. Biar kalau customer order makanan gak dikira fiktif.. Jarang banget order makanan ada yg mau ngambil"
Dito Wahyu isnanta,Ajarin aku cara mesen Maxim bang gimana ini tujuannya gabisa ketemu di map Maxim:(
Nayy,"Pelayanan terburuk. Apalagi driver Maxim car, duh rese minta ampun. Udah rese songong lagi, berdasarkan pengalaman saya 3x berturut turut naik Maxim car. Harga yang ditentukan aplikasi suka minta dilebihin sama driver nya. Sekiranya gak bisa menyediakan layanan transportasi yang murah mending jangan dimurahkan dari awal biar gak gondok ke penumpangnya. Kapok!"
Siti Maesaroh,good job
thwy kazuma,"Jelek... Bbrp kali order dibatalkan driver, bbrp x driver minta di talangin dulu makanan nya... Dan sangat lambat order ya... Titik selalu gak sesuai pdhl sudah tulis alamat manual.. Tp secara otomatis ganti alamat lain... Jelek otw un install"
Fadhyl Kodii,"Dulu aplikasi Maxim bagus karena dilengkapi dengan fitur berbagi maps bisa dilihat langsung oleh apk nya skrg setelah terupdate sudah tidak bisa, dan untuk masalah loginnya minta ampun sampai sekarang sya tidak bisa login sdh karena kode otp yang sampe berhari"" tidak ada masuk, padahal Maxim lebih terjangkau harganya dibandingkan dengan kompetitor yang lain tapi sekarang sangat disayangkan karena banyak yang tidak stabil"
teguh pena,"lari ke aplikasi GRAB, Gara2 Aplikasi Nya Tiba2 Gak Bisa Kebuka( menu loading terus)..."
Ki Agus Tri Basuki,"Lumayan. Lebih murah, dari yg lain"
Sandi Priaman,josss
Black Jordan2001,pengemudi ramah
Priskilya Rupilele,Semenjak memakai aplikasi maxim jdi lebih mudah kemana saja hrga ojeknya juga terjangkau trimakasih maxim
Sultan Ahmad,"Drivernya lelet, pada males""an"
Irma Yunita,driver nya ramah.. terimakasih.
bsgasdwi hariyanto (Bagas),mantab dan bagus banget...
Riyan Siprastyo,makasih maxim dan drivernya semoga lancar terus
Moh Ema,Ribet nentuin titik jemput sama lokasi yg dituju
Azizah Rosadi,"Aplikasi parah. mau order food, diklik food tp ga pindah2 ke menu food, udah di back malah kepesen order bike. Saya panik lah, langsung aja saya cancel. Udah cancel nih, dikira udah kelar sampe disitu, tapi ternyata tidak ferguso!! driver masih bisa chat dan bahasanya cukup kasar!! Driver nuduh saya melakukan order tembakan, pake ngancam2 mau suspen akun saya. YAELAH gausah di suspen langsung saya uninstall maximnya. Tolong lah aplikasinya diperbaiki, terus seleksi drivernya tolong diperketat !!"
Rayhan Bulbul,makasih
rahadi mursidi,"APLIKASI NYA JELEK,GPS NYA NGAWUR... INTERFACE SANGAT MEMBINGUNGKAN PENGGUNA"
Aisjiah,bagus
Reza Reza,sangat membantu
tatang maulana alkaphon,Ok mbell
David Doda,"Tolong d perluas petanya dong min, d seluruh provinsi Gorontalo, kok d desa sebelah ada d peta, lalu d desa ku gak ada d peta, jdinya aku selalu naik maxim turun d desa sebelah, lalu lagi naik ojek lain karena gak bisa k desa ku, jdinya aku selalu pengeluaran jdi lebih tinggi di banding lagi Naik maxim, aku kasi bintang 3 aja dulu Ya, kalau sudah ada di peta desa ku, Aku akan kasi bintang 5 min"
Bung Viktor,💯
Dedy Sam,"Banyak yg harus di perbaiki cari alamat lokasi yg dituju masih sangat sulit,tdk seperti aplikasi yg lain mudah mencari lokasi yg dituju,tolong di perbaiki lagi nanti saya kasih bintang 5 ya"
Ottojkt indonesia,"Peta / map nya jadul banget, kadang-kadang nama jalan yang sudah terkenal saja sistem tak bisa mengenal nya, cobalah map nya terus di update, seperti area luar jakarta, map nya masih banyak detailnya yang blank. Disuruh update tapi selalu gagal, tidak ada kendala dengan internet."
Putri Duma,"Baru kali ini ada aplikasi ojek online yang sangat mengecewakan,pengemudi nya pada bersifat jelek,pelaksanaan terlalu lama,pernah bertengkar sama pengemudi cuman karena mengubah rute katanya mau mengajak sampai ke kantor urusan nya,aplikasi jelek gak rekomendasi untuk aplikasi ini!"
Ronald Harefa,ok
Bang April April,Bagus sekali
Tanki Jhonson,mantab.
Saifullah Saiful,Waktu tungu 3 menit eh 8 menit. Driver nyetir lambat tolong?
Brian purba,g bisa login
Feri Rozali,ramah cepat dan tidak memilih ongkir
Damar Urip,cepet dan tepar waktu . tapi radak sayang kadang2 GPS nya gak sesuwe titik padahal pas order di tempat
dhiio pradesta,TERLALU RIBET DAN SUSAH UNTUK MENENTUKAN TITIK PENJEMPUTAN. BIKIN EMOSI KALO LAGI DARURAT....
Nofi Hariati,bagus.... Mau login lg susah...
Kristiono Kewes80,mantap
rafanda adeeva,bagus
Diana Arofik,baikk banget indirever ramah tempat waktu sehat selalu bang ojol 👍👍👍👍
Dafa Andiva,SUSAH CARI DRIVER TRUS SUKA BGT CANCEL
Ulfa Yanti,Bagus
WONG BAGUS,Drivernya oke..
Nur Hasanah,mantap
Andres Wulan,abc
Sharen Lie,Selalu minta ulang lebih dri di apk
앙가라,좋아요
John Key,Ok
Ellak Ellak,driver mantap hebat tepat waktu sip
Lulu Soba,Trimksh pelayanan nya kak
Nundi Peniron,Maximku eror gabisa login
Radit alfathir,semangat terus bgg
linda Labu,enak pas rasanya
Khumaeni Khabibi,Agak kecewa sama maxim. Saya pesan maxim hampir 1jam gak Dateng2 dengan alasan macet Sampek saya harus jalan kaki lagi karna lokasi yg saya bagikan gak terjangkau dengan driver. Tapi setelah saya jalan kaki ditempat sesuai janji dengan driver eh drivernya gak nongol juga.
Alvoncus Jr,Bnyak penipuan aplikasi tidak jelas
Zaini Veermansyah,Ingin menambahkan nama tempat atau lokasi titik penjemputan biar tepat titik pickupnya.Cara selain daftar Maxim merchant
Muji Rahayu,Tarifnya terjangkau... Terimakasih maxim
Muhammad Fatahillah engget,mantap
Vira Anggita,ramah dan aman tepat waktu
CV TIFFANY UTAMA,bs diandalkan. mohon lbh perhatian kesejahteraan driver
Muhammad Yusuf,Aplikasi terbaik 👍👍
Siti Assari,Sebener nya bagus murah..cuma kok aneh saat saya gk order masa ke order sendiri bikin saya di omel2in driver nya aja
Tony Wijaya,Mantap
Siti Kustini,mantaf...driverny ramah2
Arini Sri Rahayu,Ga bisa login
wahdah kandajani,"ramah bnr, makasih"
Pope Aprianjasmady,"aplikasi tolol, ga semua lokasi ada di pilihan, udah gitu maksa minta nomor rumah. dongo banget sumpah, udah gitu tujuannya langsung berubah ke tempat lain. tolol banget"
rania zidni,"Hari ini tu parah, msa apkx keluar sendiri tiba tiba deliveri food dtng, saya dimijtai biaya 2 kali lipat dr ongkirx, apk parah,"
Bola Zona,Pantas 5bintang soalnya paling murah harganya
Susilawati Susilawati,Ini kenapa ya aplikasiny ga bisa di download??
Herman Yosef,Mantap
Yogha Stars,Apk sampah!! Babi
M.SATRIA ADRIANO,mantap
Anna Aldy,tepat waktu
Sri lina Wijayanti,"Ini knp ya min kok gabisa login, muter² trs drtd pagi"
Lukman Faizin,bagusss
Raymond Rianto,Perusahaan yg belum siap 100% beroperasi. Launching aplikasi tanpa menyediakan layanan call center 👎👎👎
Jupri Canel,Bgusa
Sindi Slanky,"Errorrr muluu, jadi males aplk nggak jelas"
Yenni Tri Darti,drivernya ramah
Erik Hadisurya,Lama banget aplikasi nya
Bang Blogger,Apk nggak jelas banyak bug dan titik penjemputan jg nggak bisa kita pilih sendiri 👎👎👎
Nita novita sari,"LG ada gangguan yak,, kacau bet,, org lagi butuh2nya tranportasi.."
sulthanrajobintang,bagus nyaman ramah.
Muhammad Zulkarnain,Is ok
Arif arifinal,bagus baek
Aming Afandy,"Ini kenapa sih aplikasi gk bisa di gunakan heran bangt,,,coba tolong perbaiki mau mdmesan pun lama bngt"
Rahma ridiyana,Plikasi sering eror pembayaran harusnya ada optional selain cash dan kasian Abang nya klo eror saya pesan sekali kenapa yang dtng langsung 2 mendingan gojek
Axel Pratama,Aplikasi eror
Amir,Susa muter2 aja kaya eror aplikasi nya🤦
Musdalifah Mdl,Setelah diupgrade malah gbs dibuka.
Alfiyah Nur Rohmah Ida,"Aplikasinya bagus, harganya murah. Cuma petanya kurang akurat, tapi gapapa"
Balqis Azmi,"Lola, ga sesuai titik, sekarang sistem eror tolong dong perbaikan sistemnya lagi"
Yana Julian,ERORRRRRRRRR TGL 12 08 2023 GA BISA LOG IN
Eris Ewox,Kelamaan error nya !!!
Fuad hasyim,Gangguan mulu. Jadi kurang nyaman
Hendra MLBB,"Kalo blom siap bikin perusahaan transportasi pergi aja tutup dari Indonesia sana jink ,,,eror Mulu map juga dablek titik nya"
Arsya Aff,log in susah
31. RIO WIRA BHAKTI SUDRAJAT,Kirim kode aj 2 hari Jaringan bagus
Supri Yatna,"Aplikasinya Lola alias loading lama lelet bgt mau buka nya,ko sekarang error aja sihh"
Zhanie Rongrean,driver cepat tiba di toko tujuan tapi toko tujuan tutup
Vhan Go87,"Knp gak bisa di gunakan,"
Lusy Lusy01,Aplikasi gak bagus .. lemot bikin budrek
Alam Nugraha Utama,"Ini knp login susah ya,,jaringan data bagus,,sinyal bagus,,biasanya cepet knp sekarang jadi susah login. Tolong di perbaiki apk nya"
Fikri Akbar,"maps nya susah pas penjemputan sering kelewatan, pas di buma loading terus aplikasi ujung-ujungnya pake apk sebelh"
"Putri Wulan,A","Gakbisa buka app nya, memutar terus. Udh coba uninstall juga tetep blum bisa. Kenapa ya ?"
Shasa Nisfiyanti,Pakai Data atau Wifi tetap tidak dapat terhubung ke layanan🙄
Khafidzul Rizal,Kenapa aplikasi nya tidak mau jalan
Nurfazwa Hasan,"SUMPAH LOADING SKALI INI MAXIM,BKENG PALATO"
M A Z,Woyy kok gak bisa login nguyer nguyer ae
Risca Intan,burik
ida Mhtfts soleha,"Ko gabisaa yaa saya mau masuk ke apknya gabisaa,,,notifnya cek koneksi data internet padahal kuotaku masi banyakk"
Daud Halawa,Sumpah aplikasi ngak bagus
EDUARDUS ENGGOL,"Hmm rill bikin habis paketan sia""..gw udah download pas mau login tetap coba lagi brulang"" pula.. Trpaksa gw kasih bintang 1"
Mus Tofa,Lebih hemat
Khaerul Baso khaerul muqni,Mantap
Yayat Putra,👍👍👍
Wilnathax,Nice
Agus Tri Alvaro,"Saya ubah ulasan pada tgl 12/8/23 apk eror gk bisa login semua HP, saya suruh temen saya login juga gk bisa masuk, tolong di perbaiki, kedua masalah maps tolong yg akurat biar pengguna gk perlu posisikan lokasi biar akurat, biar gk kya apk sebelah yg lokasi akurat tanpa perlu di geser2 n posisikan lokasi terdekat dr penumpang nya.."
Asep sajili rahmat,Maxim eror wae
Aris acha,apk pengoerder oror tdk bisa di buka
yusuf Ramadhan,"Semenjak gabisa ambil nomor HP cs, sering kenak tipu, orderan fiktif"
Mas Gibran,Tidak jelas
Saskia Dwi,Suka error kenapa iya
Ahmad Farido,"Permisi bapak/ibu yang terhormat kalau mau driver nya main akun 1 semua, cara yg tepat pakai 1 aplikasi, seperti aplikasi sebelah, diver dan penumpang aplikasinya sama, jangan dipisah seperti ini penumpang aplikasinya Maxim, driver aplikasi nya taxse driver, jadi para driver main akun banyak dengan caranya sendiri, Jadi gak usah repot-repot verifikasi lagi. 🙏🏻 Sekedar memberi saran"
Ahmad Sukri,"Nyaman, terjangkau. Ramah, asyik Maxim pokoknya yang terbaik. Pertahan kan selalu aflikasinya, aku sangat suka aplikasi Maxim ini selain ongkos yang murah pelayanannya juga ramah ramah para sopirnya. Untung ada Maxim perjalanan jadi gak terhambat"
HUJAEMI 89,Wooooooyyyyy apk nya sering eror nih tolong di perbaiki
Myllyn7x,"aplikasimu xim gak bisa order bagaimana ,repott sekali,gak bsa kemana2"
Ryuushin Kunou,error teroooosss. Mau order apk gk bsa kebuka. Pindah aja ke indrive. Apk tolol ini
Istanamie Gcmmall,In gmna ko ga bsa di pake
Nauvan Rivan,"g jelas, reconneting mulu"
Aditya Saeful,Kenapa sih apk nya ngelegg
Rinar 971,Ini kenapa yah setiap dibuka aplikasinya selalu menampilkan kembali ke layanan? Tidak bisa digunakan
Sapta Tujuhsembilan,Hari ini apk customer maxim eror. Ga bisa cari driver. Loading terus.
Muhamad Rizky mubarok,Diupdate malah bikin kacau
Anindya Nurlaila E.,Paling murah wkkwkwkw sukakkkk
Cindy Puspa,"Aku tiap hari pake maxim berangkat kerja , tp kenapa today apknya ga bisa dibuka sama sekali terus menghubungkan kelayanan padahal jaringannya stabil 😔"
Muhammad Irhamdi,"Apk gak jelas, login pun susah"
Lizah Sulizah,Knp tiba2 aplikasinya gk bisa di buka ya
Alina Edisti,wifi data smua stabil tapi tetep aja gabisa login alasan internett padahl koneksi saya bgusss
Ganis saputro,"Sering error kak ,kurang spesifik kek ojol lainnya"
Sugandi Sugandi,Ko ga bisa di buka.pdhal jaringan wifi bagus
eko kodok,Aplikasi error gak bisa di buka
Nas Rullah,Sementara maxim error hadeehh
Fandik Satya,Eror
su hendra,Sistim sinyal maxim eror.
aulia,Sering trobel gak jelas
Era kusuma,aplikasinya gak bisa dibuka
Saipul Bahri,"Pihak MAXIM KLO cari orang yg ngatur sistem, yg Cerdas jangan yang TOLOLLLL GOBLOKKKK BEGOOOO, KENAPA, KARENA APLIKASI SERING ERORRRR ,"
Haru Lino,Aplkasi apaan anjr ngak bisa ke buka tolol
Bang Rizal,Layanan sangat baik
novi utt,"Gagal login terus, sering bermaslah aplikasinya"
Bahrul Oey,Ok
Azka Syaputra,Adoohh knpa ngak bisa login
Lois Aqino,apk ini sangat jelek selalu nge bug
dewa Komang,Lambat sekali Maxim ini
sany fitrah,udah kesekian kalinya lagi buru2 mau pesan malah eror .. jangan sering sering eror lah apalagi pagi banyak yg ngejar waktu
Ridwan Saja,"Buat login susah muter² mulu padahal jaringan bagus, tolong di perbaiki"
Muhammad Al isra,Tolong di perbaiki Fitur food nya biar lebih jelas. Dan satu lagi knpa sering eror
Mini Ae,Eror tidak bisa menghubungkan ke pelayanan
Shipa Nurpadilah,Bagusss
Dimasbanyu Dimas,Kenapa loading terus ini gak berguna apk nya
Muhammad Abraham,Aplikasi masih bobbrok Batalin orderan makanan gk bisa
Andri Lombogia,"Bagian manado gangguan tidak bisa di buka, mohon respon cepat!!! Kasihan kami driver belum dapat orderan!!!"
mifta Bang koyeng,Nice
Ujang Rusman,Buruk g bisa masuk aplikasi jaringan bagus tapi tulisannya tidak terhubung ke internet pake paket data sama wifi sama aja aplikasi nya g bisa masuk
surosso erostok,Eror mulu
Rifky S. Wardana,"""menghubungkan ke layanan"" knp si???"
Asep Seva,"Kenapa akhir2 ini susah log in, aplikasi susah untuk di gunakan?"
nova rina,Maxim kenapa susah masuk skrng yah..
Syarief barmawi,"Tidak bisa membuka aplikasi,.katanya periksa jaringan padahal pake wifi"
Thehumble 14,Lelet lemot eror maps gak sesuai
Alesha Zahra,Ka knp maxim sya gk bsa kebuka mulu pdhl kuota bnyak app lain bisa cmn maxim doang yg gk bisa
fikri candra,sangat mudah dan aman
ALV BAKERY,Aplikasi suka lelet padahal tdk ada kendala di koneksi. sebagai pengguna agak kecewa karna sering pakai maxim.. TOLONG MAP SESUAIKAN DENGAN YANG ADA DI GOOGLE MAP. SUSAH KETEMU.ALAMAT ORANG KARENA MAP MAXIM TIDAK LENGKAP !!!
Ilham BeaTrap,"Apk taii, gabisa dibuka"
Alun Nudin,Suka error
LIMA JARI MUSIC,Loading lama jelek
Varlianus Jeni,ini aplikasih kenapa ngk bisa di buka ya..padahal kita lagi butuh kendaraan antar jemput
Ahmad Nurjaman1111,Erorr mulu males jadinya pake ini aplikasi
Putri Stefani Fransiska,Tapi ini Maxim lahi error ya
Vinsensius Fareri,Maxim aplikasi transportasi yg sangat murah dan cocok digunakan untuk kerja
apika haikal,"Ini aplikasi tolong perbaiki dong, saya mau pesan maxim berangkat kerja gak bisa login kenapah, login susah map-nya aga ngaco"
Jek,Bapuk asu eror mulu
Adi S Uzumaki Uzumaki,Tolong perbagus LG maxsim nya
setelah huruf L,Tau mau dipake malah gangguan
Nurul Hafizhah,"Lagi buru buru inisiatif mau pake ojek maxim malah aplikasi gabisa dibuka, gimana mau order. Payah"
TONI SIT,Sering errorrrrr. Ini aja gk bisa terhubung ke admin
Jafar Shodiq,"Apaan gk ada angin gk ada apa, mau login ae gabisa, kecewa asli"
bumi pangayuh,"Maxim sdng eror kah, knp selalu ggl buat masuk aplikasi"
Novi Oktaffia,Ini apk gabisa kebukaa gimana ya
Arif utina “Zenn”,Tdk bisa di buka
Ahmad Boyy,Keren
Mugi Raharjo,Saya kok gak bisa buka aplikasi ya keterangan periksa jaringan internet anda padahal buat buka aplikasi yang lain lancar internet lancar
Natsuko,Aplikasi tidak bisa terhubung ke jaringan saat menggunakan wifi padahal aplikasi lain terkoneksi.
Ari Y,Bar di update Maxim lemot rak main
aji halilintar,Aplikasi eror di buka gak bisa
Soul Nurahman,Aplikasi sering bermasalah dan kadang saya gak bisa buka aplikasinya juga drivernya gak ramah kurang ajar tuh orang kalo ketemu gw bikin cacat di jalan...
Rista Ritonga,semoga semakin berkembang sangat bermanfaat..
Maulana Zidna Akhsanil Umam,Jaringan baik-baik aja tulisannya menghubungkan ke layanan terus
Gilang Akbar,Terburuku
Jasmine Prameshwari,Ngebug!
RIKSON Butar Butar,"Aplikasinya sdh mulai error, gk bisa terhubung jadi malas pake maxim. Suka error aplikasinya"
Pipin Sarozi,"Ajarin juga drivernya, kalau mau makan jangan ambil orderan, dengan mudahnya bilang ""cancle aja saya mau sarapan dulu"","
Rangga Official,Murah jos
Arif Hi,"Aplikasi tolol gajelas, ga kebuka buka lemot"
ivan si buncin budak cinta,Keren dan murah pas lah di kantong
M Shobirin,Sign up eror mulu
Rulla Fitra,sangat baik
zio dipsu,ZIO😁😁😆😁😁
Friska Hutajulu,Semoga trus Bisa gini keren sudah sampai anak anak ditujuan kita dikabari thx pak anak saya senang dan nyaman sampai sekolah
Muthia Najla Halim,pelayanan baik dan ramah
Nur Fatimah,Terimakasih.Tetap tingkatkan pelayanan
Mutia Putriamita,ramah
Nanda Septian,Hemat banget pokek'e
Mahdawiah Wiwi,baik bngt bpkny ....trimksh bnyk
Nabila Karunia Hasna Dewi,"Gabisa login, loading nya luamaa"
Pedro Adriano,"Saya ga merasa mesan maxim krna posisi hp mati,pas nyalain hp tiba2 terpesan sendiri maxim bike,hadeh drivernya marah2 gbisa di batalin akhirnya bayar walaupun ga merasa pesan"
M Axsho,Ok
maulana ishaq32,"Bingung mau cancel pesanan kalo toko sudah tutup dan kasian buat driver harus potong saldo,lain kali untuk update selanjutnya jika toko tutup langsung auto cancel aja jangan terlalu rumit"
